name,modelName,modelField,jsonModelName,targetJsonModelName,targetModel,type,title,sequence,tracked,widget,hidden,widgetAttrs,visibleInGrid,selection,nameField,required,readonly
image,MetaJsonRecord,attrs,Vehicle,,com.axelor.meta.db.MetaFile,many-to-one,Image,17,,Image,,"",,,,,
agency,MetaJsonRecord,attrs,Vehicle,Agency,,json-many-to-one,Agency,18,,,,"",true,,,,
sequence,MetaJsonRecord,attrs,Vehicle,,,integer,,,,,true,,,,,,
importId,MetaJsonRecord,attrs,Vehicle,,,integer,,,,,true,,,,,,
name,MetaJsonRecord,attrs,RentalAgreement,,,string,Reference,1,,,,"",true,,true,true,true
status,MetaJsonRecord,attrs,RentalAgreement,,,string,Status,2,true,,,"",true,rental.agreement.status.select,,,
customer,MetaJsonRecord,attrs,RentalAgreement,,com.axelor.contact.db.Contact,many-to-one,Customer,3,,,,"",true,,,true,
vehicle,MetaJsonRecord,attrs,RentalAgreement,Vehicle,,json-many-to-one,Vehicle,4,,,,"",true,,,true,
startDate,MetaJsonRecord,attrs,RentalAgreement,,,datetime,Start date,5,true,,,"",true,,,true,
endDate,MetaJsonRecord,attrs,RentalAgreement,,,datetime,End date,6,true,,,"",true,,,true,
pickupLocation,MetaJsonRecord,attrs,RentalAgreement,,,string,Pickup location,7,,,,"",,,,,
returnLocation,MetaJsonRecord,attrs,RentalAgreement,,,string,Return location,8,,,,"",,,,,
dailyRate,MetaJsonRecord,attrs,RentalAgreement,,,decimal,Daily rate,9,,,,"",,,,,
estimatedDays,MetaJsonRecord,attrs,RentalAgreement,,,integer,Estimated days,10,,,,"",,,,,true
totalAmount,MetaJsonRecord,attrs,RentalAgreement,,,decimal,Total amount,11,true,,,"",true,,,,
deposit,MetaJsonRecord,attrs,RentalAgreement,,,decimal,Deposit,12,,,,"",,,,,
startMileage,MetaJsonRecord,attrs,RentalAgreement,,,integer,Start mileage,13,,,,"",,,,,
endMileage,MetaJsonRecord,attrs,RentalAgreement,,,integer,End mileage,14,,,,"",,,,,
extras,MetaJsonRecord,attrs,RentalAgreement,RentalExtra,,json-many-to-many,Extras,15,,Tags,,"",,,,,
notes,MetaJsonRecord,attrs,RentalAgreement,,,text,Notes,16,,,,"",,,,,
importId,MetaJsonRecord,attrs,RentalAgreement,,,integer,,,,,true,,,,,,
name,MetaJsonRecord,attrs,RentalExtra,,,string,Name,1,,,,"{""colSpan"": ""8""}",true,,true,true,
price,MetaJsonRecord,attrs,RentalExtra,,,decimal,Price,2,,,,"{""colSpan"": ""4""}",true,,,,
importId,MetaJsonRecord,attrs,RentalExtra,,,integer,,,,,true,,,,,,
name,MetaJsonRecord,attrs,Agency,,,string,Name,1,,,,"",true,,true,true,""
code,MetaJsonRecord,attrs,Agency,,,string,Code,2,,,,"",true,,,true,
city,MetaJsonRecord,attrs,Agency,,,string,City,3,,,,"",true,,,,
phone,MetaJsonRecord,attrs,Agency,,,string,Phone,4,,,,"",,,,,
email,MetaJsonRecord,attrs,Agency,,,string,Email,5,,,,"",,,,,
openingHours,MetaJsonRecord,attrs,Agency,,,string,Opening hours,6,,,,"",,,,,
address,MetaJsonRecord,attrs,Agency,,,text,Address,7,,,,"",,,,,
manager,MetaJsonRecord,attrs,Agency,,com.axelor.contact.db.Contact,many-to-one,Manager,8,,,,"",,,,,
importId,MetaJsonRecord,attrs,Agency,,,integer,,,,,true,,,,,,
